# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
peptide_326,1,0,0,0,0,0,0,0,0
peptide_327,0,0,0,0,0,0,0,0,0
peptide_328,0,0,0,0,0,0,0,0,0
peptide_329,0,0,0,0,0,0,0,0,0
peptide_330,0,0,0,0,0,0,0,0,0
peptide_331,0,0,0,0,0,0,0,0,0
peptide_332,0,0,0,0,0,0,0,0,0
peptide_333,0,0,0,0,0,0,0,0,0
peptide_334,0,0,0,0,0,0,0,0,0
peptide_335,0,0,0,0,0,0,0,0,0
peptide_336,0,0,0,0,0,0,0,0,0
peptide_337,0,0,0,0,0,0,0,0,0
peptide_338,0,0,0,0,0,0,0,0,0
peptide_339,0,0,0,0,0,0,0,0,0
peptide_340,0,0,0,0,0,0,0,0,0
peptide_341,0,0,0,0,0,0,0,0,0
peptide_342,1,0,0,0,0,0,0,0,0
peptide_343,0,0,0,0,0,0,0,0,0
peptide_344,0,0,0,0,0,0,0,0,0
peptide_345,0,0,0,0,0,0,0,0,0
peptide_346,0,0,0,0,0,0,0,0,0
peptide_347,0,0,0,0,0,0,0,0,0
peptide_348,0,0,0,0,0,0,0,0,0
peptide_349,0,0,0,0,0,0,0,0,0
peptide_350,0,0,0,0,0,0,0,0,0
peptide_351,0,0,0,0,0,0,0,0,0
peptide_352,0,0,0,0,0,0,0,0,0
peptide_353,0,0,0,0,0,0,0,0,0
peptide_354,0,0,0,0,0,0,0,0,0
peptide_355,0,1,0,1,1,1,1,0,1
peptide_356,0,0,0,0,1,1,0,0,0
peptide_357,0,0,0,0,1,1,0,0,0
peptide_358,0,0,0,0,0,0,0,0,0
peptide_359,0,0,1,0,1,1,0,0,0
peptide_360,0,0,0,0,0,0,0,0,0
peptide_361,0,0,1,1,1,1,1,0,1
peptide_362,0,0,0,0,0,0,0,0,0
peptide_363,0,0,0,0,1,0,0,0,0
peptide_364,0,0,0,0,0,0,0,0,0
peptide_365,0,0,0,0,0,0,0,0,0
peptide_366,0,0,1,0,1,1,0,0,0
peptide_367,0,0,0,0,0,0,0,0,0
peptide_368,0,0,0,0,0,0,1,0,0
peptide_369,0,0,0,0,0,0,0,0,0
peptide_370,0,0,0,0,0,0,0,0,0
peptide_371,0,0,0,0,0,0,0,0,0
peptide_372,0,0,0,0,0,0,0,0,0
peptide_373,0,0,0,0,0,0,0,0,0
peptide_374,0,0,0,0,0,0,0,0,0
peptide_375,0,0,0,0,0,0,0,0,0
peptide_376,0,0,0,0,0,0,0,0,0
peptide_377,0,0,0,0,0,0,0,0,0
peptide_378,0,0,0,0,0,0,0,0,0
peptide_379,0,0,0,0,0,0,0,0,0
peptide_380,0,0,0,0,0,1,0,0,0
peptide_381,0,0,0,0,0,0,0,0,0
peptide_382,0,0,0,0,0,0,0,0,0
peptide_383,0,0,0,0,0,0,0,0,0
peptide_384,0,0,0,0,0,0,0,0,0
peptide_385,0,0,0,0,0,0,0,0,0
peptide_386,0,0,0,0,0,0,0,0,0
peptide_387,0,0,0,0,0,0,0,0,0
peptide_388,0,0,0,0,0,0,0,0,0
peptide_389,0,0,0,0,0,0,0,0,0
peptide_390,0,0,0,1,0,0,0,0,0
peptide_391,0,0,0,0,0,0,0,0,0
peptide_392,0,0,0,0,0,0,0,0,0
peptide_393,0,0,0,0,0,0,0,0,0
peptide_394,0,1,0,0,0,0,0,0,0
peptide_395,0,0,0,0,0,0,0,0,0
peptide_396,0,0,0,0,0,0,0,0,0
peptide_397,0,0,0,0,0,0,0,0,0
peptide_398,0,0,0,0,0,0,0,0,0
peptide_399,0,0,0,0,0,0,0,0,0
peptide_400,0,0,0,0,0,0,0,0,0
peptide_401,0,0,0,0,0,0,0,0,0
peptide_402,0,0,0,0,0,0,0,0,0
peptide_403,0,0,0,0,0,0,0,0,0
peptide_404,0,0,0,0,0,0,0,0,0
peptide_405,0,0,0,0,0,0,0,0,0
peptide_406,0,0,0,0,0,0,0,0,0
peptide_407,0,0,0,0,0,0,0,0,0
